Địa điểm,Address,Latitude,Longitude,Land cost
Ủy Ban Nhân Dân Phường Bến Thành Quận 1,"92 Đ. Nguyễn Trãi, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh","10,7701850","106,6912970","632.000.000,00"
Ủy Ban Nhân Dân Phường Cầu Ông Lãnh Quận 1,"60 Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh","10,7655720","106,6971410","720.000.000,00"
Ủy Ban Nhân Dân Phường Cô Giang Quận 1,"59 Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Hồ Chí Minh","10,7619037","106,6916579","257.000.000,00"
Ủy Ban Nhân Dân Phường Bến Nghé Quận 1,"29 Nguyễn Trung Ngạn, Bến Nghé, Quận 1, Hồ Chí Minh","10,7826262","106,7046446","528.000.000,00"
Ủy Ban Nhân Dân Phường Cầu Kho Quận 1,"23 Trần Đình Xu, Cầu Kho, Quận 1, Hồ Chí Minh, Vietnam","10,7596127","106,6918942","268.000.000,00"
Ủy Ban Nhân Dân Phường Nguyễn Cư Trinh Quận 1,"105 Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh","10,7623228","106,6882955","212.000.000,00"
Ủy Ban Nhân Dân Phường Nguyễn Thái Bình Quận 1,"40 P. Đức Chính, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh","10,7688980","106,7004060","613.000.000,00"
Ủy Ban Nhân Dân Phường Đa Kao Quận 1,"58b Nguyễn Đình Chiểu, Đa Kao, Quận 1, Hồ Chí Minh","10,7889685","106,6998689","335.000.000,00"
Ủy Ban Nhân Dân Phường Tân Định Quận 1,"227 Đ. Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh","10,7913805","106,6890090","271.000.000,00"
Ủy Ban Nhân Dân Phường Phạm Ngũ Lão Quận 1,"240 Đ. Đề Thám, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh","10,7679909","106,6938651","514.000.000,00"
